5.245, 1.010
23.65, 1.004
41.02, 1.029
58.39, 1.070
93.14, 1.162
110.5, 1.204
127.9, 1.256
145.3, 1.316
162.6, 1.371
178.5, 1.422
214.7, 1.549
232.1, 1.573
249.5, 1.615
266.9, 1.670
283.9, 1.702
301.6, 1.746
318.1, 1.774
336.3, 1.809
352.8, 1.832
369.6, 1.856
388.5, 1.883
405.0, 1.900
422.3, 1.922
440.3, 1.939
458.2, 1.956
476.2, 1.973
493.6, 1.991
510.1, 2.003
528.3, 2.016
545.1, 2.027
561.9, 2.038
578.1, 2.047
596.9, 2.067
615.2, 2.073
628.8, 2.075
649.0, 2.090
666.1, 2.095
683.8, 2.100
696.8, 2.100
201.4, 1.499
187.7, 1.454
275.9, 1.696
79.94, 1.138
68.48, 1.104
